pressure [Pa],temperature [C]=10,temperature [C]=12.5,temperature [C]=15,temperature [C]=17.5,temperature [C]=20,temperature [C]=22.5,temperature [C]=25,temperature [C]=27.5,temperature [C]=30,temperature [C]=32.5,temperature [C]=35,temperature [C]=37.5,temperature [C]=40,temperature [C]=42.5,temperature [C]=45,temperature [C]=47.5,temperature [C]=50,temperature [C]=52.5,temperature [C]=55,temperature [C]=57.5,temperature [C]=60,temperature [C]=62.5,temperature [C]=65,temperature [C]=67.5,temperature [C]=70
3.61e+07,2.03735,1.97633,1.92008,1.8682,1.82034,1.77616,1.73537,1.69772,1.66297,1.6309,1.60133,1.57408,1.549,1.52594,1.50477,1.48538,1.46767,1.45152,1.43687,1.42362,1.41171,1.40106,1.39162,1.38333,1.37614
3.71e+07,2.04935,1.98798,1.93141,1.87926,1.83114,1.78674,1.74576,1.70794,1.67304,1.64085,1.61117,1.58383,1.55867,1.53555,1.51435,1.49494,1.47721,1.46107,1.44644,1.43322,1.42136,1.41077,1.4014,1.39319,1.3861
3.81e+07,2.06131,1.99958,1.94271,1.89027,1.8419,1.79728,1.7561,1.7181,1.68305,1.65072,1.62093,1.5935,1.56827,1.54509,1.52385,1.50441,1.48667,1.47053,1.45591,1.44273,1.4309,1.42037,1.41107,1.40294,1.39594
3.91e+07,2.07323,2.01115,1.95396,1.90123,1.85261,1.80776,1.76638,1.72821,1.693,1.66054,1.63063,1.60311,1.5778,1.55456,1.53327,1.5138,1.49604,1.47991,1.4653,1.45214,1.44035,1.42987,1.42063,1.41258,1.40566
4.01e+07,2.08512,2.02268,1.96516,1.91215,1.86327,1.81819,1.77661,1.73826,1.70289,1.6703,1.64028,1.61265,1.58726,1.56396,1.54262,1.52311,1.50534,1.4892,1.4746,1.46146,1.44971,1.43927,1.43009,1.42211,1.41528
4.11e+07,2.09697,2.03417,1.97633,1.92303,1.87389,1.82858,1.78679,1.74826,1.71273,1.68,1.64986,1.62213,1.59666,1.57329,1.5519,1.53236,1.51456,1.49841,1.48382,1.4707,1.45897,1.44858,1.43945,1.43154,1.42478
4.21e+07,2.10879,2.04563,1.98746,1.93387,1.88447,1.83892,1.79693,1.75821,1.72252,1.68965,1.65938,1.63155,1.60599,1.58256,1.56111,1.54153,1.52371,1.50755,1.49296,1.47985,1.46815,1.4578,1.44872,1.44087,1.43419
4.31e+07,2.12057,2.05705,1.99855,1.94467,1.895,1.84922,1.80701,1.76811,1.73226,1.69924,1.66885,1.64092,1.61527,1.59176,1.57026,1.55064,1.53279,1.51661,1.50202,1.48892,1.47725,1.46693,1.45791,1.45011,1.44351
4.41e+07,2.13232,2.06843,2.00961,1.95543,1.9055,1.85947,1.81706,1.77796,1.74195,1.70878,1.67827,1.65023,1.62449,1.6009,1.57934,1.55968,1.5418,1.52561,1.51101,1.49792,1.48627,1.47598,1.467,1.45927,1.45273
4.51e+07,2.14404,2.07979,2.02063,1.96615,1.91595,1.86969,1.82705,1.78777,1.75159,1.71827,1.68763,1.65948,1.63365,1.60999,1.58836,1.56865,1.55074,1.53453,1.51993,1.50685,1.49521,1.48496,1.47602,1.46834,1.46186
4.61e+07,2.15574,2.09111,2.03162,1.97683,1.92636,1.87986,1.83701,1.79753,1.76118,1.72772,1.69695,1.66868,1.64275,1.61902,1.59733,1.57757,1.55962,1.54339,1.52878,1.5157,1.50408,1.49385,1.48495,1.47732,1.47091
4.71e+07,2.1674,2.10239,2.04257,1.98748,1.93674,1.88999,1.84692,1.80725,1.77073,1.73711,1.70621,1.67783,1.65181,1.62799,1.60623,1.58642,1.56844,1.55218,1.53756,1.52448,1.51288,1.50268,1.49381,1.48623,1.47987
4.81e+07,2.17903,2.11365,2.05349,1.9981,1.94708,1.90009,1.8568,1.81693,1.78023,1.74646,1.71543,1.68693,1.66081,1.63691,1.61508,1.59522,1.5772,1.56091,1.54628,1.5332,1.52161,1.51143,1.5026,1.49506,1.48876
4.91e+07,2.19064,2.12488,2.06438,2.00868,1.95738,1.91014,1.86663,1.82657,1.78969,1.75577,1.7246,1.69598,1.66976,1.64577,1.62388,1.60396,1.5859,1.56959,1.55493,1.54185,1.53027,1.52011,1.51131,1.50381,1.49757
